[96, 2.75, 7.75, 1.42e-13, 1.417e-12, 3.54e-13]
[97, 3.25, 0.25, 9.84e-13, 1.36e-13, 1.16e-13]
[98, 3.25, 0.75, 9.57e-13, 1.53e-13, 1.28e-13]
[99, 3.25, 1.25, 8.85e-13, 1.73e-13, 1.42e-13]
[100, 3.25, 1.75, 7.87e-13, 1.97e-13, 1.57e-13]
[101, 3.25, 2.25, 6.81e-13, 2.26e-13, 1.75e-13]
[102, 3.25, 2.75, 5.81e-13, 2.6e-13, 1.96e-13]
[103, 3.25, 3.25, 4.92e-13, 3.03e-13, 2.19e-13]
[104, 3.25, 3.75, 4.17e-13, 3.54e-13, 2.44e-13]
[105, 3.25, 4.25, 3.54e-13, 4.17e-13, 2.72e-13]
[106, 3.25, 4.75, 3.03e-13, 4.92e-13, 3.03e-13]
[107, 3.25, 5.25, 2.6e-13, 5.81e-13, 3.34e-13]
[108, 3.25, 5.75, 2.26e-13, 6.81e-13, 3.65e-13]
[109, 3.25, 6.25, 1.97e-13, 7.87e-13, 3.94e-13]
[110, 3.25, 6.75, 1.73e-13, 8.85e-13, 4.17e-13]
[111, 3.25, 7.25, 1.53e-13, 9.57e-13, 4.32e-13]
[112, 3.25, 7.75, 1.36e-13, 9.84e-13, 4.37e-13]
[113, 3.75, 0.25, 7.23e-13, 1.29e-13, 1.23e-13]
[114, 3.75, 0.75, 7.08e-13, 1.45e-13, 1.36e-13]
[115, 3.75, 1.25, 6.68e-13, 1.62e-13, 1.52e-13]
[116, 3.75, 1.75, 6.11e-13, 1.84e-13, 1.7e-13]
[117, 3.75, 2.25, 5.45e-13, 2.08e-13, 1.91e-13]
[118, 3.75, 2.75, 4.79e-13, 2.38e-13, 2.16e-13]
[119, 3.75, 3.25, 4.17e-13, 2.72e-13, 2.44e-13]
[120, 3.75, 3.75, 3.61e-13, 3.13e-13, 2.77e-13]
[121, 3.75, 4.25, 3.13e-13, 3.61e-13, 3.13e-13]
[122, 3.75, 4.75, 2.72e-13, 4.17e-13, 3.54e-13]
[123, 3.75, 5.25, 2.38e-13, 4.79e-13, 3.98e-13]
[124, 3.75, 5.75, 2.08e-13, 5.45e-13, 4.43e-13]
[125, 3.75, 6.25, 1.84e-13, 6.11e-13, 4.85e-13]
[126, 3.75, 6.75, 1.62e-13, 6.68e-13, 5.21e-13]
[127, 3.75, 7.25, 1.45e-13, 7.08e-13, 5.45e-13]
[128, 3.75, 7.75, 1.29e-13, 7.23e-13, 5.53e-13]
[129, 4.25, 0.25, 5.53e-13, 1.23e-13, 1.29e-13]
[130, 4.25, 0.75, 5.45e-13, 1.36e-13, 1.45e-13]
[131, 4.25, 1.25, 5.21e-13, 1.52e-13, 1.62e-13]
[132, 4.25, 1.75, 4.85e-13, 1.7e-13, 1.84e-13]
[133, 4.25, 2.25, 4.43e-13, 1.91e-13, 2.08e-13]
[134, 4.25, 2.75, 3.98e-13, 2.16e-13, 2.38e-13]
[135, 4.25, 3.25, 3.54e-13, 2.44e-13, 2.72e-13]
[136, 4.25, 3.75, 3.13e-13, 2.77e-13, 3.13e-13]
[137, 4.25, 4.25, 2.77e-13, 3.13e-13, 3.61e-13]
[138, 4.25, 4.75, 2.44e-13, 3.54e-13, 4.17e-13]
[139, 4.25, 5.25, 2.16e-13, 3.98e-13, 4.79e-13]
[140, 4.25, 5.75, 1.91e-13, 4.43e-13, 5.45e-13]
[141, 4.25, 6.25, 1.7e-13, 4.85e-13, 6.11e-13]
[142, 4.25, 6.75, 1.52e-13, 5.21e-13, 6.68e-13]
[143, 4.25, 7.25, 1.36e-13, 5.45e-13, 7.08e-13]
[144, 4.25, 7.75, 1.23e-13, 5.53e-13, 7.23e-13]
[145, 4.75, 0.25, 4.37e-13, 1.16e-13, 1.36e-13]
[146, 4.75, 0.75, 4.32e-13, 1.28e-13, 1.53e-13]
[147, 4.75, 1.25, 4.17e-13, 1.42e-13, 1.73e-13]
